Video name,Codec,Timestamp,CPU_Usage(%),Memory_Usage(MB)
pexels-kindel-media-8823454 (2160p),mjpeg,1699015468.5224168,123.2,98.3203125
pexels-kindel-media-8823454 (2160p),mjpeg,1699015468.723111,30.8,98.3203125
pexels-kindel-media-8823454 (2160p),mjpeg,1699015468.9234948,84.7,110.1875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015469.124119,46.2,110.1875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015469.3243852,53.9,110.1875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015469.5255795,58.2,110.1875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015469.726812,7.7,98.3203125
pexels-kindel-media-8823454 (2160p),mjpeg,1699015469.9273245,38.5,110.1875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015470.1277065,69.3,110.1875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015470.3284774,53.9,98.3203125
pexels-kindel-media-8823454 (2160p),mjpeg,1699015470.528834,77.0,110.375
pexels-kindel-media-8823454 (2160p),mjpeg,1699015470.7294374,41.6,110.37890625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015470.9297931,46.2,98.515625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015471.1301959,53.9,110.3984375
pexels-kindel-media-8823454 (2160p),mjpeg,1699015471.3308554,61.6,110.40625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015471.5313456,77.0,98.546875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015471.7319436,84.7,122.29296875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015471.9330678,83.1,110.42578125
pexels-kindel-media-8823454 (2160p),mjpeg,1699015472.1332145,100.1,98.578125
pexels-kindel-media-8823454 (2160p),mjpeg,1699015472.333458,100.1,116.74609375
pexels-kindel-media-8823454 (2160p),mjpeg,1699015472.5342324,69.3,110.46875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015472.7347445,61.6,98.60546875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015472.9350708,30.6,110.47265625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015473.135703,41.8,110.47265625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015473.336278,46.2,110.47265625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015473.5369577,30.8,110.4765625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015473.737327,53.9,110.4765625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015473.9374986,30.6,120.80859375
pexels-kindel-media-8823454 (2160p),mjpeg,1699015474.1383352,77.0,119.4296875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015474.3390837,75.2,110.5625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015474.5392797,46.2,110.5625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015474.739552,69.3,110.5625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015474.9399164,68.9,110.5625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015475.1404333,61.6,122.4296875
pexels-kindel-media-8823454 (2160p),mjpeg,1699015475.3406465,23.1,110.5625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015475.5410478,91.9,110.5625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015475.7417765,53.9,110.5625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015475.9425807,53.6,110.5625
pexels-kindel-media-8823454 (2160p),mjpeg,1699015476.1430051,53.9,98.6953125
pexels-kindel-media-8823454 (2160p),mjpeg,1699015476.3432956,53.9,100.25390625
pexels-kindel-media-8823454 (2160p),libx264,1699015477.0831184,0.0,231.51953125
pexels-kindel-media-8823454 (2160p),libx264,1699015477.2845829,23.1,507.46484375
pexels-kindel-media-8823454 (2160p),libx264,1699015477.4851625,77.0,800.30859375
pexels-kindel-media-8823454 (2160p),libx264,1699015477.685818,46.0,1075.3046875
pexels-kindel-media-8823454 (2160p),libx264,1699015477.8861976,75.2,1112.0859375
pexels-kindel-media-8823454 (2160p),libx264,1699015478.086577,53.9,1117.8828125
pexels-kindel-media-8823454 (2160p),libx264,1699015478.2873933,46.2,1123.328125
pexels-kindel-media-8823454 (2160p),libx264,1699015478.4879854,184.7,1250.92578125
pexels-kindel-media-8823454 (2160p),libx264,1699015478.6887937,428.9,1463.890625
pexels-kindel-media-8823454 (2160p),libx264,1699015478.8923717,423.3,1678.421875
pexels-kindel-media-8823454 (2160p),libx264,1699015479.0931418,477.2,1832.33203125
pexels-kindel-media-8823454 (2160p),libx264,1699015479.2939842,1016.0,1990.94140625
pexels-kindel-media-8823454 (2160p),libx264,1699015479.5026078,1162.3,2155.94140625
pexels-kindel-media-8823454 (2160p),libx264,1699015479.7115648,1500.9,2265.94140625
pexels-kindel-media-8823454 (2160p),libx264,1699015479.9191415,1362.7,2363.22265625
pexels-kindel-media-8823454 (2160p),libx264,1699015480.1317239,1554.8,2446.5
pexels-kindel-media-8823454 (2160p),libx264,1699015480.3456697,1434.1,2533.88671875
pexels-kindel-media-8823454 (2160p),libx264,1699015480.5492446,1477.8,2597.109375
pexels-kindel-media-8823454 (2160p),libx264,1699015480.7837377,1542.5,2671.03515625
pexels-kindel-media-8823454 (2160p),libx264,1699015480.9977856,1448.3,2717.6015625
pexels-kindel-media-8823454 (2160p),libx264,1699015481.209967,1585.6,2762.8984375
pexels-kindel-media-8823454 (2160p),libx264,1699015481.4137712,1508.6,2805.29296875
pexels-kindel-media-8823454 (2160p),libx264,1699015481.6151311,1062.2,2837.4296875
pexels-kindel-media-8823454 (2160p),libx264,1699015481.833345,1055.9,2845.85546875
pexels-kindel-media-8823454 (2160p),libx264,1699015482.0396218,1339.3,2874.6640625
pexels-kindel-media-8823454 (2160p),libx264,1699015482.2414527,1270.0,2878.0390625
pexels-kindel-media-8823454 (2160p),libx264,1699015482.4535627,1291.4,2890.2890625
pexels-kindel-media-8823454 (2160p),libx264,1699015482.655075,1316.2,2896.234375
pexels-kindel-media-8823454 (2160p),libx264,1699015482.8674297,1554.8,2914.03125
pexels-kindel-media-8823454 (2160p),libx264,1699015483.0850751,1405.5,2918.15234375
pexels-kindel-media-8823454 (2160p),libx264,1699015483.2943513,1234.3,2922.84765625
pexels-kindel-media-8823454 (2160p),libx264,1699015483.502602,1431.7,2926.66796875
pexels-kindel-media-8823454 (2160p),libx264,1699015483.7106526,1370.1,2931.609375
pexels-kindel-media-8823454 (2160p),libx264,1699015483.923035,1405.5,2923.84375
pexels-kindel-media-8823454 (2160p),libx264,1699015484.1243687,1154.6,2928.98046875
pexels-kindel-media-8823454 (2160p),libx264,1699015484.3314054,1246.9,2933.37890625
pexels-kindel-media-8823454 (2160p),libx264,1699015484.534768,708.1,2948.31640625
pexels-kindel-media-8823454 (2160p),libx264,1699015484.7366836,915.9,2973.76171875
pexels-kindel-media-8823454 (2160p),libx264,1699015484.9380124,612.7,2962.4921875
pexels-kindel-media-8823454 (2160p),libx264,1699015485.1387835,685.0,2974.4921875
pexels-kindel-media-8823454 (2160p),libx264,1699015485.3403006,531.1,2975.125
pexels-kindel-media-8823454 (2160p),libx264,1699015485.5429165,854.4,2965.7109375
pexels-kindel-media-8823454 (2160p),libx264,1699015485.7494926,1308.5,2969.40625
pexels-kindel-media-8823454 (2160p),libx264,1699015485.9915955,1615.9,2971.96484375
pexels-kindel-media-8823454 (2160p),libx264,1699015486.2061727,1498.3,2974.84765625
pexels-kindel-media-8823454 (2160p),libx264,1699015486.4337506,1462.8,2989.5390625
pexels-kindel-media-8823454 (2160p),libx264,1699015486.6537926,1555.3,2980.21484375
pexels-kindel-media-8823454 (2160p),libx264,1699015486.8588102,1462.4,2993.96875
pexels-kindel-media-8823454 (2160p),libx264,1699015487.0662084,1440.0,2994.15234375
pexels-kindel-media-8823454 (2160p),libx264,1699015487.2846293,1483.7,2982.703125
pexels-kindel-media-8823454 (2160p),libx264,1699015487.488373,1470.1,2983.18359375
pexels-kindel-media-8823454 (2160p),libx264,1699015487.6889832,1478.2,2983.6484375
pexels-kindel-media-8823454 (2160p),libx264,1699015487.889862,1447.0,2984.2421875
pexels-kindel-media-8823454 (2160p),libx264,1699015488.0963566,1447.0,3001.515625
pexels-kindel-media-8823454 (2160p),libx264,1699015488.3023117,1447.0,3010.37890625
pexels-kindel-media-8823454 (2160p),libx264,1699015488.5129244,1405.5,3008.109375
pexels-kindel-media-8823454 (2160p),libx264,1699015488.7149627,1562.5,3030.1171875
pexels-kindel-media-8823454 (2160p),libx264,1699015488.925546,1585.6,3027.3671875
pexels-kindel-media-8823454 (2160p),libx264,1699015489.1258779,1500.9,3036.80078125
pexels-kindel-media-8823454 (2160p),libx264,1699015489.3267403,1500.9,3046.4296875
pexels-kindel-media-8823454 (2160p),libx264,1699015489.5473225,1448.3,3069.73828125
pexels-kindel-media-8823454 (2160p),libx264,1699015489.7488983,1454.7,3075.7578125
pexels-kindel-media-8823454 (2160p),libx264,1699015489.9710774,1505.4,3068.34375
pexels-kindel-media-8823454 (2160p),libx264,1699015490.1816802,1577.9,3086.9453125
pexels-kindel-media-8823454 (2160p),libx264,1699015490.3932524,1426.9,3096.14453125
pexels-kindel-media-8823454 (2160p),libx264,1699015490.6218297,1495.7,3092.97265625
pexels-kindel-media-8823454 (2160p),libx264,1699015490.827035,1547.1,3112.48828125
pexels-kindel-media-8823454 (2160p),libx264,1699015491.0348291,1577.9,3118.765625
pexels-kindel-media-8823454 (2160p),libx264,1699015491.239265,1493.2,3111.96875
pexels-kindel-media-8823454 (2160p),libx264,1699015491.454253,1426.9,3128.65234375
pexels-kindel-media-8823454 (2160p),libx264,1699015491.6623087,1508.6,3122.88671875
pexels-kindel-media-8823454 (2160p),libx264,1699015491.8862658,1484.0,3136.47265625
pexels-kindel-media-8823454 (2160p),libx264,1699015492.0881937,1508.6,3126.03515625
pexels-kindel-media-8823454 (2160p),libx264,1699015492.2916515,1500.9,3140.83203125
pexels-kindel-media-8823454 (2160p),libx264,1699015492.493394,1508.6,3131.453125
pexels-kindel-media-8823454 (2160p),libx264,1699015492.7085686,1391.3,3146.0546875
pexels-kindel-media-8823454 (2160p),libx264,1699015492.9159517,1262.3,3136.93359375
pexels-kindel-media-8823454 (2160p),libx264,1699015493.1244795,1355.6,3138.8203125
pexels-kindel-media-8823454 (2160p),libx264,1699015493.3321211,1439.3,3152.1171875
pexels-kindel-media-8823454 (2160p),libx264,1699015493.539759,1485.5,3154.77734375
pexels-kindel-media-8823454 (2160p),libx264,1699015493.7517648,1434.1,3157.44140625
pexels-kindel-media-8823454 (2160p),libx264,1699015493.9548776,1577.9,3148.91015625
pexels-kindel-media-8823454 (2160p),libx264,1699015494.1597917,1462.4,3151.13671875
pexels-kindel-media-8823454 (2160p),libx264,1699015494.3613615,1454.7,3165.328125
pexels-kindel-media-8823454 (2160p),libx264,1699015494.5640442,1524.2,3156.33203125
pexels-kindel-media-8823454 (2160p),libx264,1699015494.7651322,1424.0,3170.41796875
pexels-kindel-media-8823454 (2160p),libx264,1699015494.972592,1262.3,3172.45703125
pexels-kindel-media-8823454 (2160p),libx264,1699015495.1743422,1377.8,3162.94921875
pexels-kindel-media-8823454 (2160p),libx264,1699015495.3872786,1348.5,3163.81640625
pexels-kindel-media-8823454 (2160p),libx264,1699015495.5985763,1208.4,3175.88671875
pexels-kindel-media-8823454 (2160p),libx264,1699015495.802293,1316.2,3164.171875
pexels-kindel-media-8823454 (2160p),libx264,1699015496.016873,1398.4,3176.91796875
